post_id,text,likes,comments,reposts,views,attachments
2999745,"Брат Трэвиса Келси заступился за Тейлор Свифт

Американский футболист Трэвис Келси и Тейлор Свифт встречаются с лета 2023 года, но до сих пор многие фанаты не могут смириться с выбором спортсмена. Их бесит, что Тейлор на матчах уделяют больше времени, чем самой игре. 

Один из таких фанатов повстречался с Джейсоном Келси, братом Трэвиса и американским футболистом. Он шёл вслед за спортсменом, снимая его на телефон и выкрикивая: ""Как ты относишься к тому, что твой брат встречается с чёртовой Тейлор Свифт?"". В итоге Джейсон не выдержал, вырвал телефон у парня из рук и кинул на землю. 

Фанаты Тейлор оказались в восторге!",171,4,11,27322,"['photo', 'video']"
2999722,"Ариана Гранде полностью вжилась в роль Глинды

Ариана Гранде, сыгравшая роль Глинды в фильме ""Злая"", сейчас вовсю занята пиар-туром киноленты. Сегодня она появилась на премьере в Сиднее, Австралия. На Арине было пышное розовое платье от Vivienne Westwood, отсылающее к образу Глинды из фильма ""Волшебники страны Оз"" 1939-ого года.",374,7,23,27973,"['photo', 'photo', 'photo', 'photo', 'photo', 'photo']"
2999685,"«Если он хочет полететь в космос, то это сразу нет»: необычные требования Оливии Родриго к парням

В новом интервью 21-летняя певица Оливия Родриго рассказала о своих красных флагах в парнях. Одним из них является желание молодого человека полететь в космос. Оливия призналась, что задает вопрос об этом сразу на первом свидании. Если он отвечает да, то она сразу отказывается от отношений с ним. 

«Мне кажется, если ты хочешь полететь в космос, то ты слишком самодовольный. Я думаю, это просто странно».",360,28,79,51432,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999654,"«ЭТО ЧТО ОДЕЯЛО?!»: новый выход Блейк Лайвли

Актриса Блейк Лайвли в последнее время стала чаще радовать нас своими публичными выходами. На этот раз она появилась на мероприятии LACMA Art+Film Gala. Для выхода был выбран наряд ручной работы от Tamara Ralph: сияющее короткое платье и оранжевая накидка, многим напомнившая уютное одеяло.",272,8,9,27238,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999519,"Марго Робби родила раньше срока!

По информации надежных источников, Марго Робби впервые стала мамой ещё 17 октября.

Ее супруг Том Акерли был рядом с ней в этот трудный момент. У пары родился мальчик раньше положенного срока, но это не повлияло на здоровье малыша.

Сейчас ребенок и мама чувствуют себя хорошо! 

Поздравляем!",825,8,84,48388,['photo']
2999479,"ЭТО ЛУЧШЕЕ: Участницы группы под названием KATSEYE перевоплотились в WINX.

Набирающая популярность многонациональная группа на этот Хэллоуин решила перевоплотиться в феечек «Винкс». В коллективе как раз шесть участниц, что равноценно основному составу фей из первых сезонов мультсериала.",2093,26,331,57804,"['photo', 'photo', 'photo', 'photo', 'photo']"
2999451,"«Я НЕ ЖЕРТВА»,- САЛЕНА ГОМЕС ОТВЕТИЛА НА КРИТИКУ ЕЁ ФИГУРЫ НА ФОНЕ ПОСЛЕДНЕГО ВЫХОДА.

На днях в сторону певицы вновь полилось большое количество хейта и домыслов, связанных с её телом. 

После постоянных упреков в интернете мисс Гомес решила высказаться, написав комментарий, в котором рассказала, что у неё «синдром избыточного бактериального роста в кишечнике», который воспаляется. Девушка также добавила, что ей противно видеть такие комментарии, но она не является жертвой, она просто обычный человек.

Напоминаем, что в Селену часто упрекают за её фигуру, и новая волна началась после её последнего выхода (о котором [club88397640|мы писали ранее] )на премьере продолжения «Волшебников из Вейверли Плейс». Тогда одни писали, что она выглядит некрасиво, а другие начали подозревать её в беременности.",221,46,34,38829,['photo']
2999445,"Лара Крофт Ирина Шейк и её ночной перекус в виде пельменей.

38-летняя российская супермодель снова решила поделиться с подписчиками блюдом, которое она ела на этот раз в три часа ночи после Хэллоуинской вечеринки.

Иногда тоже хочется просто есть пельмешки в 3 ночи и иметь фигуру как у Иришки.",714,13,51,44402,['photo']
2999405,"ХУДОЖНИК «РАТАТУЙ» БЫЛ АРЕСТОВАН ЗА ПЕД.ФИЛИЮ.

59-летний художник и автор анимации мультфильмов киностудит Disney «Рататуй», «Тарзан», «Вверх», «Лило и Стич», «Суперсемейка» и др. был арестован за причатность к нас.лию над сотнями детей в возрасте от пяти до десяти лет.

Бухалем Бучиба заказывал подобного рода преступления у женщин на Филиппинах, наблюдая за происходящим через даркнет и давая им указания на жестокие обращения во время трансляций. 

Всё это происходило на протяжении почти десяти лет. Мужчину посадили на 25 лет, и в течение ещё 20-ти лет после отбывания срока ему будет запрещено устраиваться на работу, связанную с детьми.",252,46,671,32532,['photo']
2999392,"У кого-кого, а у Камилы Кабейо Хэллоуин прошел по максимуму.

Певица отметила страшный праздник на вечеринке у Кендалл Дженнер Chateau Marmont в Лос-Анджелесе. И, похоже, Кендалл угостила всех гостей своей текилой 818, потому что покидала Камила торжество в очень хорошем настроении и еле держась на ногах(видео в ленте).",668,6,158,55010,"['photo', 'video']"
